t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb
1,40065,36058,4007,63482,34844,0.54888,3,12,20,3264,0,3,0,0,92.62,0.23,4,113,92.63
2,40177,36160,4017,35805,31454,0.87848,4,11,19,30,0,0,0,0,109.62,0.00,0,113,109.62
3,40116,36104,4012,35561,32473,0.91316,4,12,22,33,0,0,0,0,121.68,0.16,2,113,121.69
4,40162,36146,4016,35421,31679,0.89436,4,12,22,35,0,0,0,0,127.97,0.00,0,113,127.97
5,40106,36095,4011,35303,32470,0.91975,4,11,19,28,0,0,0,0,127.97,0.21,2,113,127.97
6,40139,36125,4014,35280,31317,0.88767,4,12,21,36,0,0,0,0,127.97,0.00,0,113,127.97
7,40038,36034,4004,35178,31735,0.90213,4,12,20,36,0,0,0,0,127.97,0.00,0,113,127.97
8,40181,36164,4017,35286,31074,0.88063,4,12,21,40,0,0,0,0,127.97,0.05,2,113,127.97
9,40073,36065,4008,35052,30488,0.86979,4,12,21,33,0,0,0,0,127.97,0.05,1,113,127.97
10,40092,36084,4008,35074,30605,0.87258,4,11,19,28,0,0,0,0,127.97,0.06,1,113,127.97
11,40162,36144,4018,35110,29305,0.83466,5,12,22,32,0,0,0,0,127.97,0.00,0,113,127.97
12,40113,36102,4011,35056,29244,0.83421,4,12,21,31,0,0,0,0,127.97,0.00,0,113,127.97
13,40148,36133,4015,68525,40687,0.59375,3,13,22,3520,1,4,1,0,102.26,0.22,5,121,102.29
14,40092,36083,4009,84635,41467,0.48995,3,13,21,3456,1,4,0,0,93.27,0.21,3,117,93.27
15,40197,36178,4019,56884,29146,0.51238,3,11,19,3328,0,3,0,0,104.79,0.13,2,115,104.80
16,40189,36170,4019,44993,33473,0.74396,3,10,26,1792,0,1,0,0,113.13,0.13,2,114,113.16
17,40120,36108,4012,35838,30513,0.85141,4,10,18,29,0,0,0,0,127.97,0.23,3,114,127.97
18,40034,36030,4004,35553,31017,0.87242,4,11,18,26,0,0,0,0,127.97,0.00,0,114,127.97
19,40157,36142,4015,35634,30011,0.84220,4,11,20,33,0,0,0,0,127.97,0.01,1,114,127.97
20,40217,36195,4022,35787,29019,0.81088,4,12,23,36,0,0,0,0,127.97,0.03,2,114,127.97
21,40053,36048,4005,35642,30916,0.86740,4,12,22,36,0,0,0,0,127.97,0.00,0,114,127.97
22,40060,36053,4007,35579,31449,0.88392,4,12,23,34,0,0,0,0,127.97,0.00,0,114,127.97
23,40046,36042,4004,35477,29861,0.84170,4,12,21,31,0,0,0,0,127.97,0.00,0,114,127.97
24,40098,36088,4010,35468,27846,0.78510,4,12,19,31,0,0,0,0,127.97,0.00,0,114,127.97
25,40042,36038,4004,35373,27479,0.77684,5,12,21,32,0,0,0,0,127.97,0.25,2,114,127.97
26,40016,36014,4002,35265,28047,0.79532,4,11,19,28,0,0,0,0,127.97,0.00,0,114,127.97
27,40069,36063,4006,64389,35041,0.54421,4,13,22,3328,1,3,1,0,118.14,0.00,0,123,118.15
28,40135,36124,4011,81978,44044,0.53727,3,13,21,3456,1,5,0,0,93.72,0.16,3,118,93.72
29,40207,36183,4024,67897,37771,0.55630,3,12,20,3328,0,4,0,0,77.67,0.02,1,114,77.69
30,40092,36083,4009,35702,29607,0.82928,4,12,22,38,0,0,0,0,101.48,0.14,2,114,101.49
31,40166,36150,4016,35699,30660,0.85885,4,11,20,31,0,0,0,0,121.17,0.00,0,114,121.18
32,40198,36178,4020,35709,31111,0.87124,3,10,140,26,0,0,0,0,127.97,0.04,2,114,127.97
33,40169,36151,4018,35449,31721,0.89483,3,9,28,26,0,0,0,0,127.97,0.00,0,114,127.97
34,40109,36099,4010,35289,31217,0.88461,4,11,22,34,0,0,0,0,127.97,0.00,0,114,127.97
35,40068,36061,4007,35200,31544,0.89614,4,12,19,33,0,0,0,0,127.97,0.05,1,114,127.97
36,40104,36094,4010,35152,31237,0.88863,4,11,19,31,0,0,0,0,127.97,0.00,0,114,127.97
37,40124,36111,4013,34935,31476,0.90099,4,12,19,32,0,0,0,0,127.97,0.00,0,114,127.97
38,40075,36068,4007,34771,31747,0.91303,4,11,21,40,0,0,0,0,127.97,0.09,1,114,127.97
39,40115,36103,4012,34863,30221,0.86685,4,12,22,33,0,0,0,0,127.97,0.00,0,114,127.97
40,40134,36121,4013,35058,28433,0.81103,5,12,22,37,0,0,0,0,127.97,0.04,1,114,127.97
