t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,40152,36137,4015,36012,24334,0.67572,7,23,40,3520,1,4,0,0,127.97,59.77,17,112,127.97,33720,128732,22759,0,154341,28054,238398,6984
2,40031,36029,4002,35657,28076,0.78739,7,18,32,82,0,1,0,0,127.97,37.41,11,113,127.97,0,137221,23986,0,157389,31102,240572,7246
3,40024,36021,4003,35427,32654,0.92173,6,16,30,86,0,0,0,0,127.97,27.72,9,113,127.97,0,139760,24285,0,157389,32354,240572,7246
4,40031,36028,4003,35320,31477,0.89119,5,15,27,45,0,0,0,0,127.97,17.45,6,113,127.97,0,143305,24586,0,157389,32534,240572,7246
5,40226,36204,4022,35423,32557,0.91909,5,13,21,31,0,0,0,0,127.97,3.11,1,113,127.97,0,145915,24793,0,157389,32620,240572,7246
6,40029,36025,4004,35276,31823,0.90211,6,15,24,49,0,0,0,0,127.97,0.00,0,113,127.97,0,148838,25002,0,157389,33273,240572,7246
7,40040,36037,4003,35159,31713,0.90199,8,19,28,55,0,0,0,0,127.97,0.00,0,113,127.97,0,149700,25585,0,157389,33274,240572,7246
8,40065,36059,4006,35185,31039,0.88217,8,20,30,72,0,0,0,0,127.97,0.07,3,113,127.97,0,150842,26727,0,157389,33274,240572,7246
9,40061,36054,4007,35095,30538,0.87015,7,20,35,57,0,0,0,0,127.97,0.00,0,113,127.97,0,151968,27853,0,157389,33274,240572,7246
10,40234,36210,4024,35153,30636,0.87150,8,19,29,57,0,0,0,0,127.97,0.00,0,113,127.97,0,152596,28481,0,157389,33274,240572,7246
11,40201,36182,4019,35149,29323,0.83425,6,15,25,42,0,0,0,0,127.97,0.00,0,113,127.97,0,154114,29999,0,157389,33274,240572,7246
12,40116,36105,4011,35024,29245,0.83500,8,21,32,56,0,0,0,0,127.97,0.06,1,113,127.97,0,155238,31123,0,157389,33274,240572,7246
13,40253,36227,4026,36250,28828,0.79526,7,24,42,3712,1,3,1,0,127.87,40.51,13,122,127.87,11579,155865,31684,0,180322,36046,265798,9034
14,40028,36026,4002,36097,25290,0.70061,7,23,39,3968,1,4,0,0,127.97,61.94,21,118,127.97,4735,187733,35848,0,214268,41383,305091,10579
15,40066,36057,4009,35946,24584,0.68391,7,23,38,3776,1,4,0,0,127.98,62.27,18,115,127.97,5402,222336,40571,0,249750,46980,344412,12203
16,40228,36206,4022,35919,27303,0.76013,6,16,26,176,0,1,0,0,127.97,31.63,11,114,127.97,0,234900,42286,0,255565,50493,351612,12512
17,40179,36161,4018,35823,29223,0.81576,9,22,33,64,0,0,0,0,127.97,17.24,7,114,127.97,0,240761,43121,0,255565,50835,351612,12512
18,40245,36221,4024,35726,30674,0.85859,8,20,29,57,0,0,0,0,127.97,8.50,3,114,127.97,0,245230,43693,0,255565,50837,351612,12512
19,40219,36197,4022,35684,29735,0.83329,6,14,22,32,0,0,0,0,127.97,0.00,0,114,127.97,0,249881,45153,0,255565,50837,351612,12512
20,40106,36095,4011,35673,29023,0.81358,6,16,26,49,0,0,0,0,127.97,0.02,2,114,127.97,0,253346,48618,0,255565,50837,351612,12512
21,40185,36167,4018,35733,30982,0.86704,6,16,27,40,0,0,0,0,127.97,0.00,0,114,127.97,0,254583,49855,0,255565,50837,351612,12512
22,40116,36105,4011,35622,31427,0.88224,7,19,34,59,0,0,0,0,127.97,0.00,0,114,127.97,0,254645,49917,0,255565,50837,351612,12512
23,40229,36205,4024,35618,30022,0.84289,9,22,34,63,0,0,0,0,127.97,0.00,0,114,127.97,0,254759,50031,0,255565,50837,351612,12512
24,40138,36125,4013,35533,27889,0.78488,10,24,37,63,0,0,0,0,127.97,0.09,1,114,127.97,0,254975,50247,0,255565,50837,351612,12512
25,40054,36048,4006,35367,27449,0.77612,11,25,36,66,0,0,0,0,127.97,0.15,1,114,127.97,0,255235,50507,0,255565,50837,351612,12512
26,40054,36049,4005,35288,28212,0.79948,10,23,33,58,0,0,0,0,127.97,0.00,0,114,127.97,0,255442,50714,0,255565,50837,351612,12512
27,40236,36212,4024,36168,26685,0.73781,7,22,37,3584,1,3,1,0,121.92,28.05,8,123,121.94,8619,255585,50756,0,273986,53307,376060,13869
28,40032,36030,4002,36118,26250,0.72678,6,22,36,3904,1,4,0,0,127.97,53.27,18,119,127.97,5740,277345,53107,0,305684,58474,417490,15822
29,40184,36164,4020,35858,29301,0.81714,5,21,34,3776,0,5,0,0,127.97,45.95,15,114,127.97,3263,296212,54921,0,323995,64183,457906,16229
30,40224,36202,4022,35801,31853,0.88972,6,16,25,51,0,0,0,0,127.97,40.56,12,114,127.97,0,299697,55569,0,323995,67074,457906,16229
31,40252,36227,4025,35790,30574,0.85426,7,19,30,54,0,0,0,0,127.97,25.18,9,114,127.97,0,304716,55855,0,323995,67510,457906,16229
32,40217,36195,4022,35658,30872,0.86578,7,18,26,53,0,0,0,0,127.97,8.92,6,114,127.97,0,309312,56165,0,323995,67536,457906,16229
33,40073,36066,4007,35391,31716,0.89616,10,22,33,74,0,0,0,0,127.97,0.54,2,114,127.97,0,312757,56659,0,323995,67540,457906,16229
34,40048,36043,4005,35215,31221,0.88658,10,22,32,66,0,0,0,0,127.97,0.00,0,114,127.97,0,315364,58910,0,323995,67541,457906,16229
35,40112,36101,4011,35224,31505,0.89442,5,14,23,34,0,0,0,0,127.97,0.09,1,114,127.97,0,316872,60418,0,323995,67541,457906,16229
36,40044,36040,4004,35074,31175,0.88884,9,22,31,59,0,0,0,0,127.97,0.00,0,114,127.97,0,318265,61811,0,323995,67541,457906,16229
37,40037,36033,4004,34892,31485,0.90236,9,21,31,61,0,0,0,0,127.97,0.00,0,114,127.97,0,318587,62133,0,323995,67541,457906,16229
38,40053,36048,4005,34768,31684,0.91130,9,20,29,57,0,0,0,0,127.97,0.00,0,114,127.97,0,318841,62387,0,323995,67541,457906,16229
39,40210,36189,4021,35005,30361,0.86733,10,23,33,63,0,0,0,0,127.97,0.00,0,114,127.97,0,319043,62589,0,323995,67541,457906,16229
40,40192,36174,4018,35102,28365,0.80807,10,23,34,59,0,0,0,0,127.97,0.00,0,114,127.97,0,319970,63516,0,323995,67541,457906,16229
41,40078,36069,4009,35980,27149,0.75456,7,22,35,3520,1,2,1,0,127.98,45.49,12,124,127.98,11840,322959,66481,0,343147,68936,478870,17318
42,40114,36102,4012,36271,24663,0.67996,7,22,35,3776,1,5,0,0,122.12,33.42,12,119,111.50,8731,344923,68714,0,368261,74050,520768,18471
43,40099,36089,4010,35995,23651,0.65706,6,22,36,3904,1,4,0,0,127.97,47.22,16,115,127.97,3642,373391,73948,0,398804,79963,561979,20519
44,40227,36205,4022,36013,28327,0.78658,6,17,29,2304,0,1,0,0,127.97,27.78,10,114,127.97,0,382252,75524,0,401346,82824,570770,20578
45,40214,36193,4021,35914,31022,0.86379,6,14,22,34,0,0,0,0,127.97,14.30,5,114,127.97,0,386858,75944,0,401346,83168,570770,20578
46,40177,36158,4019,35795,30921,0.86384,9,21,31,57,0,0,0,0,127.97,7.85,5,114,127.97,0,391248,76658,0,401346,83236,570770,20578
47,40150,36136,4014,35772,29795,0.83291,10,23,33,63,0,0,0,0,127.97,0.01,2,114,127.97,0,396364,78257,0,401346,83239,570770,20578
48,40051,36045,4006,35677,28531,0.79970,10,23,33,56,0,0,0,0,127.97,0.00,0,114,127.97,0,398249,80142,0,401346,83239,570770,20578
49,40035,36031,4004,35646,29492,0.82736,10,23,33,58,0,0,0,0,127.97,0.00,0,114,127.97,0,399266,81159,0,401346,83239,570770,20578
50,40061,36056,4005,35561,29774,0.83727,9,21,31,72,0,0,0,0,127.97,0.02,1,114,127.97,0,400164,82057,0,401346,83239,570770,20578
51,40182,36163,4019,35586,29973,0.84227,9,22,31,59,0,0,0,0,127.97,0.08,1,114,127.97,0,401144,83037,0,401346,83239,570770,20578
52,40043,36040,4003,35467,30515,0.86038,10,23,33,59,0,0,0,0,127.97,0.00,0,114,127.97,0,401162,83055,0,401346,83239,570770,20578
53,40247,36222,4025,35528,32106,0.90368,6,17,27,53,0,0,0,0,127.97,0.00,0,114,127.97,0,401169,83062,0,401346,83239,570770,20578
54,40220,36198,4022,35334,32279,0.91354,9,20,30,56,0,0,0,0,127.97,0.00,0,114,127.97,0,401187,83080,0,401346,83239,570770,20578
55,40116,36104,4012,35934,31085,0.86506,6,20,31,3456,1,2,1,0,127.98,47.96,12,124,127.98,8136,401413,83244,0,419098,84499,590175,21279
56,40028,36025,4003,36142,25659,0.70995,6,23,36,3520,1,4,0,0,127.97,52.15,16,120,127.97,5547,424982,84561,0,451398,90691,632058,22816
57,40032,36029,4003,35829,26919,0.75132,6,21,34,3584,0,4,0,0,127.97,42.02,15,115,127.97,3257,449608,88273,0,475335,95881,664532,23586
58,40213,36192,4021,35782,29952,0.83707,5,15,27,2304,0,1,0,0,127.97,21.38,8,114,127.97,104,455858,88798,0,476448,98213,673619,23642
59,40072,36065,4007,35613,30858,0.86648,6,16,28,2304,0,1,0,0,127.97,11.82,7,113,127.97,1,461217,89084,0,477560,99461,683788,23698
60,40033,36030,4003,35575,29593,0.83185,8,19,28,52,0,0,0,0,127.97,2.27,4,113,127.97,0,466474,89642,0,477560,99965,683788,23698
61,40205,36184,4021,35668,31091,0.87168,9,22,30,57,0,0,0,0,127.97,0.00,0,113,127.97,0,469048,91559,0,477560,100053,683788,23698
62,40207,36186,4021,35649,29522,0.82813,10,22,33,60,0,0,0,0,127.97,0.00,0,113,127.97,0,472147,94643,0,477560,100056,683788,23698
63,40258,36232,4026,35796,29287,0.81816,10,23,35,72,0,0,0,0,127.97,0.20,3,113,127.97,0,474182,96678,0,477560,100056,683788,23698
64,40166,36150,4016,35796,28009,0.78246,9,23,33,64,0,0,0,0,127.97,0.00,0,113,127.97,0,475929,98425,0,477560,100056,683788,23698
65,40107,36096,4011,35668,29279,0.82088,10,23,33,63,0,0,0,0,127.97,0.00,0,113,127.97,0,476447,98943,0,477560,100056,683788,23698
66,40144,36130,4014,35525,29857,0.84045,10,23,32,60,0,0,0,0,127.97,0.00,0,113,127.97,0,476733,99229,0,477560,100056,683788,23698
67,40053,36047,4006,35339,30652,0.86737,8,20,29,58,0,0,0,0,127.97,0.13,1,113,127.97,0,476764,99260,0,477560,100056,683788,23698
68,40034,36031,4003,35277,30131,0.85413,7,17,27,47,0,0,0,0,127.97,0.02,1,113,127.97,0,476782,99278,0,477560,100056,683788,23698
69,40160,36144,4016,35842,30015,0.83743,7,19,31,3136,1,2,1,0,117.68,25.10,7,123,118.57,9869,477593,99983,0,490401,100812,699920,24691
70,40229,36206,4023,36389,27173,0.74674,6,21,35,3328,1,4,0,0,127.97,52.31,15,118,127.97,6946,495352,100893,0,522332,106521,743125,26712
71,40067,36064,4003,35947,26300,0.73163,6,21,35,3584,0,5,0,0,127.97,50.85,19,114,127.97,5363,524256,104787,0,551684,111285,786341,28387
72,40320,36284,4036,35989,28548,0.79324,6,16,26,2432,0,1,0,0,127.97,26.22,9,113,127.97,664,533938,106591,0,556106,116413,793656,28568
73,40120,36108,4012,35832,30062,0.83897,8,19,27,53,0,0,0,0,127.97,9.33,5,113,127.97,0,539158,107151,0,556106,117481,793656,28568
74,40090,36081,4009,35726,30484,0.85327,9,21,33,59,0,0,0,0,127.97,8.25,4,113,127.97,0,543751,107991,0,556106,117639,793656,28568
75,40032,36029,4003,35660,31434,0.88149,8,21,33,61,0,0,0,0,127.97,0.04,1,113,127.97,0,547437,108977,0,556106,117646,793656,28568
76,40220,36198,4022,35751,31109,0.87016,9,22,33,68,0,0,0,0,127.97,0.00,0,113,127.97,0,550383,111923,0,556106,117646,793656,28568
77,40227,36204,4023,35671,31906,0.89445,7,17,29,53,0,0,0,0,127.97,0.00,0,113,127.97,0,551835,113375,0,556106,117646,793656,28568
78,40226,36204,4022,35623,31103,0.87312,8,19,28,54,0,0,0,0,127.97,0.00,0,113,127.97,0,553459,114999,0,556106,117646,793656,28568
79,40051,36046,4005,35465,31404,0.88549,6,17,27,53,0,0,0,0,127.97,0.00,1,113,127.97,0,553983,115523,0,556106,117646,793656,28568
80,40024,36021,4003,35396,29845,0.84317,10,22,32,58,0,0,0,0,127.97,0.00,0,113,127.97,0,554278,115818,0,556106,117646,793656,28568
81,40062,36057,4005,35281,31063,0.88045,8,20,28,55,0,0,0,0,127.97,0.00,0,113,127.97,0,554634,116174,0,556106,117646,793656,28568
82,40149,36133,4016,35160,32121,0.91357,9,19,29,56,0,0,0,0,127.97,0.00,0,113,127.97,0,554669,116209,0,556106,117646,793656,28568
83,40258,36234,4024,35669,30458,0.85391,7,19,31,3328,1,2,1,0,110.32,20.94,7,123,110.32,6959,555890,117298,0,565920,117919,805555,29258
84,40072,36063,4009,36329,25365,0.69820,6,22,36,3392,1,4,0,0,121.35,39.52,13,119,122.29,5592,573862,118176,0,597640,122403,848061,30474
85,40039,36035,4004,35934,27019,0.75191,6,22,36,3392,0,4,0,0,125.22,51.77,14,115,125.23,5213,606754,121975,0,635171,128605,886446,32918
86,40157,36142,4015,35651,32241,0.90435,5,14,25,90,1,0,0,0,127.97,48.40,14,115,127.97,1,610424,122323,0,636283,131742,896720,32950
87,40029,36026,4003,35298,31929,0.90456,5,15,25,106,1,1,0,0,127.97,37.24,16,114,127.97,1,614001,122619,0,636710,132770,902703,32981
88,40228,36205,4023,35478,30644,0.86375,5,14,23,63,0,1,0,0,127.97,16.63,7,113,127.97,0,619121,122976,0,637395,134119,906002,32981
89,40030,36026,4004,35325,31611,0.89486,8,18,28,56,0,0,0,0,127.97,3.32,2,113,127.97,0,622543,123223,0,637395,134936,906002,32981
90,40173,36156,4017,35400,31823,0.89895,9,20,29,59,0,0,0,0,127.97,0.00,0,113,127.97,0,625469,123719,0,637395,135514,906002,32981
91,40058,36053,4005,35221,30091,0.85435,9,21,30,56,0,0,0,0,127.97,0.09,2,113,127.97,0,628246,126396,0,637395,135519,906002,32981
92,40052,36046,4006,35239,31551,0.89534,9,22,31,58,0,0,0,0,127.97,0.00,0,113,127.97,0,630180,128304,0,637395,135519,906002,32981
93,40046,36042,4004,35181,33525,0.95293,9,20,30,70,0,0,0,0,127.97,0.00,0,113,127.97,0,630841,128965,0,637395,135519,906002,32981
94,40070,36063,4007,35223,32393,0.91965,9,20,29,64,0,0,0,0,127.97,0.00,0,113,127.97,0,632519,130643,0,637395,135519,906002,32981
95,40210,36189,4021,35451,31418,0.88624,9,21,31,58,0,0,0,0,127.97,0.04,2,113,127.97,0,633850,131974,0,637395,135519,906002,32981
96,40023,36021,4002,35249,30620,0.86868,10,22,32,63,0,0,0,0,127.97,0.00,0,113,127.97,0,634259,132383,0,637395,135519,906002,32981
97,40238,36214,4024,35797,32115,0.89714,7,19,31,3072,1,1,1,0,127.98,32.12,9,124,127.98,4204,634997,133050,0,645967,135639,916365,33267
98,40024,36021,4003,36176,27239,0.75296,6,22,35,3648,1,4,0,0,127.97,57.43,16,120,127.97,6909,651498,135943,0,677048,140287,958307,35091
99,40099,36090,4009,35744,28640,0.80125,5,22,35,3520,1,4,0,0,127.97,73.56,22,116,127.97,4761,679024,139134,0,707581,145285,999966,36791
100,40024,36021,4003,35457,30017,0.84657,5,17,31,3200,0,3,0,0,127.97,43.08,14,113,127.97,2642,694236,140752,0,722590,150261,1020747,37380
101,40233,36211,4022,35586,31732,0.89170,8,21,30,59,0,0,0,0,127.97,33.03,11,113,127.97,0,698045,140978,0,722590,151506,1020747,37380
102,40202,36181,4021,35599,31081,0.87309,9,22,32,58,0,0,0,0,127.97,26.36,9,113,127.97,0,702478,141332,0,722590,151565,1020747,37380
103,40079,36071,4008,35578,31745,0.89226,8,19,29,56,0,0,0,0,127.97,16.70,10,113,127.97,0,706219,141695,0,722590,151770,1020747,37380
104,40055,36049,4006,35519,30734,0.86528,9,22,31,61,0,0,0,0,127.97,5.28,4,113,127.97,0,710835,142416,0,722590,151816,1020747,37380
105,40137,36123,4014,35466,32635,0.92018,9,22,32,62,0,0,0,0,127.97,0.16,1,113,127.97,0,713559,142982,0,722590,151822,1020747,37380
106,40229,36207,4022,35435,31234,0.88144,10,22,32,84,0,0,0,0,127.97,0.00,1,113,127.97,0,717045,146277,0,722590,151822,1020747,37380
107,40182,36163,4019,35436,29398,0.82961,9,22,31,57,0,0,0,0,127.97,0.00,0,113,127.97,0,719001,148233,0,722590,151822,1020747,37380
108,40082,36074,4008,35504,28850,0.81258,9,22,32,57,0,0,0,0,127.97,0.01,1,113,127.97,0,719632,148864,0,722590,151822,1020747,37380
109,40049,36044,4005,35406,29947,0.84582,10,23,33,60,0,0,0,0,127.97,0.00,0,113,127.97,0,720509,149741,0,722590,151822,1020747,37380
110,40074,36067,4007,35373,30931,0.87442,8,20,28,54,0,0,0,0,127.97,0.00,0,113,127.97,0,721069,150301,0,722590,151822,1020747,37380
111,39989,35993,3996,35510,29914,0.84241,9,23,35,2944,1,1,1,0,120.88,12.27,6,124,121.00,6007,722120,151352,0,725814,151861,1026486,37723
112,40120,36107,4013,36397,25452,0.69929,6,23,36,3648,1,4,0,0,127.98,47.53,12,120,127.98,6478,736626,152177,0,760950,157026,1068961,39075
113,40134,36119,4015,36104,24027,0.66549,7,23,36,3456,1,4,0,0,127.97,41.67,13,116,127.97,5329,766468,156283,0,790837,161613,1111678,40186
114,40029,36025,4004,35763,24245,0.67794,6,18,33,3264,0,3,0,0,127.97,40.45,14,113,127.97,1651,786652,159760,0,806480,164383,1133766,40807
115,40231,36209,4022,35915,28375,0.79006,9,22,31,62,0,0,0,0,127.97,13.34,7,113,127.97,0,793297,160216,0,806480,165470,1133766,40807
116,40099,36089,4010,35736,30002,0.83955,9,22,31,59,0,0,0,0,127.97,3.83,2,113,127.97,0,798055,160623,0,806480,165747,1133766,40807
117,40058,36052,4006,35595,31570,0.88692,9,22,32,60,0,0,0,0,127.97,0.04,1,113,127.97,0,801369,160939,0,806480,165749,1133766,40807
118,40066,36059,4007,35494,29837,0.84062,9,22,32,59,0,0,0,0,127.97,0.00,0,113,127.97,0,803430,162699,0,806480,165749,1133766,40807
119,40222,36200,4022,35677,28180,0.78986,10,23,33,60,0,0,0,0,127.97,0.15,3,113,127.97,0,804723,163992,0,806480,165749,1133766,40807
120,40226,36204,4022,35818,27954,0.78045,10,24,37,63,0,0,0,0,127.97,0.00,0,113,127.97,0,804914,164183,0,806480,165749,1133766,40807
121,40250,36225,4025,35772,28073,0.78478,10,24,37,64,0,0,0,0,127.97,0.00,0,113,127.97,0,805697,164966,0,806480,165749,1133766,40807
122,40232,36208,4024,35646,28460,0.79841,10,23,34,63,0,0,0,0,127.97,0.00,0,113,127.97,0,806223,165492,0,806480,165749,1133766,40807
123,40179,36161,4018,35546,30566,0.85990,10,23,35,82,0,0,0,0,127.97,0.00,0,113,127.97,0,806312,165581,0,806480,165749,1133766,40807
124,40060,36054,4006,35223,32014,0.90889,10,23,34,72,0,0,0,0,127.97,0.01,1,113,127.97,0,806377,165646,0,806480,165749,1133766,40807
